app_num	app_date	coapp_f_name	coapp_l_name	a_email	is_approved	is_rejected
1	2018-07-02	Casie	Comnick	lsengbusch@plusstrip.com	0	1
2	2018-07-02	Selma	Maclead	apaprocki@gogozoom.com	1	0
3	2018-07-02	Kristeen	Acey	gjeanty@faxquote.com	1	0
4	2018-07-03	Nana	Tollner	jmerced@codehow.com	1	0
5	2018-07-03	Avery	Klusman	ylueckenbach@bioholding.com	1	0
6	2018-07-03	Quentin	Loader	epaa@hatfan.com	1	0
7	2018-07-03			nschmierer@zathunicon.com	1	0
8	2018-07-04	Mona	Deleo	tmiceli@zathunicon.com	1	0
9	2018-07-04	Yuki	Vonasek	clary@scotfind.com	0	1
10	2018-07-04	Kaitlyn	Klimek	sparvis@zumgoity.com	1	0
11	2018-07-05	Raylene	Blackwood	vhauenstein@codehow.com	0	1
12	2018-07-05	Nieves	Batman	ecraghead@zathunicon.com	1	0
13	2018-07-06	Matthew	Rauser	evanausdal@konex.com	1	0
14	2018-07-06	Lizette	Witten	sscipione@toughzap.com	0	1
15	2018-07-06	Roosevelt	Springe	bscheyer@isdom.com	0	1
16	2018-07-09	Delisa	Keetch	vborgman@groovestreet.com	0	1
17	2018-07-09	Ammie	Heintzman	shamilton@donware.com	1	0
18	2018-07-09	Lashaunda	Paulas	lweirather@condax.com	0	1
19	2018-07-10	Thaddeus	Caudy	chalsey@kinnamplus.com	0	1
20	2018-07-10	Evangelina	Crupi	tmeteer@zumgoity.com	1	0
21	2018-07-11			cschoeneck@bioplex.com	1	0
22	2018-07-11	Serina	Jurney	wklusman@hottechi.com	0	1
23	2018-07-12			grestrepo@blackzim.com	1	0
24	2018-07-12	Leonora	Coyier	nplumer@doncon.com	1	0
25	2018-07-12	Virgina	Perin	lvanausdal@codehow.com	0	1
26	2018-07-13	Melissa	Vanheusen	cfrey@scotfind.com	1	0
27	2018-07-13			spinilla@zoomit.com	1	0
28	2018-07-16			nschmierer@zathunicon.com	1	0
29	2018-07-16	Vilma	Marrier	costolaza@goodsilron.com	1	0
30	2018-07-17	Willard	Albares	gkusko@scottech.com	1	0
31	2018-07-17	Lezlie	Steffensmeier	cschoeneck@bioplex.com	1	0
32	2018-07-17	Devora	Meinerding	cschoeneck@bioplex.com	1	0
33	2018-07-18			dschmaltz@scotfind.com	1	0
34	2018-07-18	Janine	Cetta	jmerced@codehow.com	1	0
35	2018-07-19	Tamar	Lawler	lhalsey@plexzap.com	1	0
36	2018-07-19	Mirta	Yglesias	mfallick@ontomedia.com	1	0
37	2018-07-20	Dorothy	Frerking	kamigon@faxquote.com	0	1
38	2018-07-20			cmaclead@ron-tech.com	0	1
39	2018-07-23	Izetta	Myricks	mwaymire@hatfan.com	1	0
40	2018-07-23	Felix	Kitty	cankeny@hottechi.com	0	1
41	2018-07-23			hmirafuentes@toughzap.com	1	0
42	2018-07-24	Jennifer	Saylors	ecraghead@zathunicon.com	1	0
43	2018-07-24	Delisa	Abdallah	lsaylors@iselectrics.com	1	0
44	2018-07-25			sparvis@zumgoity.com	1	0
45	2018-07-25	Wynell	Candlish	lhalsey@plexzap.com	1	0
46	2018-07-26	Britt	Rhym	hnachor@stanredtax.com	1	0
47	2018-07-26	Lavonna	Nicolozakes	lhalsey@domzoom.com	0	1
48	2018-07-26	Bette	Nachor	nriden@plussunin.com	1	0
49	2018-07-27			dmalet@openlane.com	1	0
50	2018-07-30	Kris	Pedrozo	aandreason@year-job.com	0	1
51	2018-07-30	An	Dhamer	rcantres@treequote.com	1	0
52	2018-07-30	Leonora	Motley	mpinilla@ganjaflex.com	1	0
53	2018-07-30	Howard	Lipke	aandreason@year-job.com	0	1
54	2018-07-31			wklusman@hottechi.com	1	0
55	2018-07-31	Jeanice	Heintzman	candreason@donquadtech.com	1	0
56	2018-08-01	Daren	Montezuma	erodefer@codehow.com	1	0
57	2018-08-02	Mitsue	Bilden	rdaufeldt@zencorporation.com	1	0
58	2018-08-02	Christiane	Rentfro	hpagliuca@rundofase.com	1	0
59	2018-08-02	Brittni	Boord	dmaile@gogozoom.com	1	0
60	2018-08-03	Carlee	Jurney	mmoyd@lexiqvolax.com	1	0
61	2018-08-03	Estrella	Acey	fmorocco@toughzap.com	1	0
62	2018-08-03	Izetta	Batman	dmalet@openlane.com	1	0
63	2018-08-03	Shalon	Perruzza	sscipione@toughzap.com	0	1
64	2018-08-06	Matthew	Sawchuk	tkorando@kinnamplus.com	1	0
65	2018-08-06	Detra	Kohnert	sshadrick@scotfind.com	1	0
66	2018-08-06			rbilden@zathunicon.com	0	1
67	2018-08-07	Yolando	Wieser	rbilden@zathunicon.com	1	0
68	2018-08-08	Novella	Heintzman	rasar@lexiqvolax.com	0	1
69	2018-08-08	Levi	Pagliuca	lhalsey@plexzap.com	1	0
70	2018-08-08	Delmy	Theodorov	jborgman@isdom.com	1	0
71	2018-08-09			mpinilla@ganjaflex.com	1	0
72	2018-08-09	Myra	Caudy	sdilliard@faxquote.com	1	0
73	2018-08-10	Timothy	Aquas	vborgman@groovestreet.com	1	0
74	2018-08-10	Viola	Riden	aharabedian@newex.com	1	0
75	2018-08-13	Lezlie	Gabisi	pheintzman@sunnamplex.com	1	0
76	2018-08-13			bscheyer@isdom.com	1	0
77	2018-08-14	Tresa	Juvera	erodefer@codehow.com	1	0
78	2018-08-14	Aja	Vonasek	nbartolet@inity.com	1	0
79	2018-08-14			vborgman@groovestreet.com	1	0
80	2018-08-15			mfallick@ontomedia.com	0	1
81	2018-08-15	Kallie	Tollner	tkorando@kinnamplus.com	1	0
82	2018-08-16	Jamal	Sayaphon	lwide@mathtouch.com	1	0
83	2018-08-16	Alesia	Scriven	tsuell@ganjaflex.com	1	0
84	2018-08-16	Malcolm	Vocelka	nplumer@doncon.com	0	1
85	2018-08-16			cturinetti@goodsilron.com	1	0
86	2018-08-17	Carissa	Vonasek	tboord@iselectrics.com	1	0
87	2018-08-17	Keneth	Engelberg	shamilton@donware.com	1	0
88	2018-08-17	Winfred	Daufeldt	gjeanty@faxquote.com	1	0
89	2018-08-17	Jeanice	Tjepkema	mloder@rantouch.com	1	0
90	2018-08-20	Rima	Corbley	rdilello@sunnamplex.com	1	0
91	2018-08-21			tnicolozakes@goodsilron.com	1	0
92	2018-08-22			cmanno@donquadtech.com	1	0
93	2018-08-22	Rikki	Sengbusch	mlietz@openlane.com	1	0
94	2018-08-23	Pete	Campain	tkarpel@plussunin.com	1	0
95	2018-08-23			ameteer@doncon.com	1	0
96	2018-08-23	Virgie	Inouye	pyum@mathtouch.com	0	1
97	2018-08-24	Venita	Springe	fweirather@warephase.com	0	1
98	2018-08-24	Carlee	Figeroa	grestrepo@blackzim.com	1	0
99	2018-08-24	Alyce	Tawil	aharnos@treequote.com	1	0
100	2018-08-27	Kanisha	Lungren	jmerced@codehow.com	1	0
101	2018-08-27	Leota	Estell	ljuvera@xx-holding.com	0	1
102	2018-08-28			rpugh@kinnamplus.com	1	0
103	2018-08-28	Stephen	Reiber	mloder@rantouch.com	1	0
104	2018-08-29	Oretha	Swayze	kknipp@cancity.com	1	0
105	2018-08-29	Jacqueline	Hagele	hpagliuca@rundofase.com	0	1
106	2018-08-29	Stephen	Wide	ameteer@doncon.com	1	0
107	2018-08-30	Dierdre	Schmaltz	vsayaphon@dontechi.com	1	0
108	2018-08-30	Bernardine	Mauson	sscipione@toughzap.com	1	0
109	2018-08-30	Danica	Loder	mscriven@singletechno.com	1	0
110	2018-08-31			cfrey@scotfind.com	1	0
111	2018-08-31	Nicolette	Samara	lragel@gogozoom.com	1	0
112	2018-08-31	Elvera	Isenhower	nriden@plussunin.com	1	0
113	2018-09-03	Zona	Lacovara	nplumer@doncon.com	1	0
114	2018-09-03			mlietz@openlane.com	0	1
115	2018-09-04	Delmy	Claucherty	fchesterfield@condax.com	1	0
116	2018-09-04	Chaya	Cloney	lweirather@condax.com	1	0
117	2018-09-04	Kimbery	Bourbon	mshire@statholdings.com	0	1
118	2018-09-05	Lai	Juvera	hnachor@stanredtax.com	1	0
119	2018-09-05	Freeman	Berlanga	cseewald@xx-holding.com	0	1
120	2018-09-06	Oretha	Acey	mcorrington@faxquote.com	1	0
121	2018-09-06	Thurman	Saylors	cschieler@rangreen.com	1	0
122	2018-09-07	Sabra	Sweigard	hnachor@stanredtax.com	1	0
123	2018-09-07	Shenika	Gibes	lvanausdal@codehow.com	1	0
124	2018-09-10			gbuzick@bioholding.com	1	0
125	2018-09-10	Lonna	Biddy	rkannady@rundofase.com	1	0
126	2018-09-11			cmaclead@ron-tech.com	1	0
127	2018-09-11	Wilda	Butt	vhauenstein@codehow.com	1	0
128	2018-09-12	Regenia	Ostrosky	tarceo@stanredtax.com	1	0
129	2018-09-12	Joni	Neither	mloder@rantouch.com	1	0
130	2018-09-13			ljuvera@xx-holding.com	0	1
131	2018-09-13			ameteer@doncon.com	0	1
132	2018-09-14			sgudroe@donware.com	1	0
133	2018-09-14			mschmaltz@zencorporation.com	1	0
134	2018-09-14	Louisa	Caiafa	jnicolozakes@plexzap.com	1	0
135	2018-09-17	Annelle	Keener	dmalet@openlane.com	0	1
136	2018-09-17	Lonna	Venere	gbuzick@bioholding.com	1	0
137	2018-09-18	Ashlyn	Walthall	rdhamer@donware.com	1	0
138	2018-09-18			aharnos@treequote.com	1	0
139	2018-09-18			jneither@statholdings.com	1	0
140	2018-09-19			rbilden@zathunicon.com	0	1
141	2018-09-19	Tarra	Wiklund	gmauson@sumace.com	0	1
142	2018-09-19			dschmaltz@scotfind.com	1	0
143	2018-09-20			hpagliuca@rundofase.com	1	0
144	2018-09-20			gkusko@scottech.com	0	0
145	2018-09-20	Caitlin	Lacovara	ewrinkles@zotware.com	1	0
146	2018-09-20	Natalie	Acey	nschmierer@zathunicon.com	1	0
147	2018-09-21	Olive	Farrow	cseewald@xx-holding.com	1	0
148	2018-09-21			liturbide@openlane.com	1	0
149	2018-09-24			gmauson@sumace.com	1	0
150	2018-09-24	Abel	Modzelewski	lfillingim@konex.com	0	1
151	2018-09-24	Krissy	Hochard	rasar@lexiqvolax.com	0	1
152	2018-09-25			mfallick@ontomedia.com	1	0
153	2018-09-25	Rebecka	Meteer	tnicolozakes@goodsilron.com	1	0
154	2018-09-25	Graciela	Baltimore	lstimmel@j-texon.com	1	0
155	2018-09-26	Ty	Papasergi	gmauson@sumace.com	1	0
156	2018-09-26			jturinetti@toughzap.com	1	0
157	2018-09-26	Chantell	Monterrubio	sgudroe@donware.com	1	0
158	2018-09-27	Ronny	Strassner	rmaynerich@bioholding.com	1	0
159	2018-09-27	Felicidad	Hoffis	pyum@mathtouch.com	1	0
160	2018-09-27	Sharen	Gibes	nriden@plussunin.com	1	0
161	2018-09-28	Sharee	Gudroe	ttolfree@iselectrics.com	1	0
162	2018-09-28	Latrice	Vizarro	mshire@statholdings.com	1	0
163	2018-10-01	Dean	Gellinger	tmeteer@zumgoity.com	1	0
164	2018-10-02	An	Miceli	tmeteer@zumgoity.com	1	0
165	2018-10-02			remigh@ganjaflex.com	1	0
166	2018-10-03	Caitlin	Theodorov	lvanausdal@codehow.com	1	0
167	2018-10-04	Minna	Blunk	vborgman@groovestreet.com	1	0
168	2018-10-04	Jacqueline	Korando	gjeanty@faxquote.com	1	0
169	2018-10-04			kgabisi@opentech.com	1	0
170	2018-10-04	Amber	Bubash	tboord@iselectrics.com	1	0
171	2018-10-05	Jolene	Tomasulo	jneither@statholdings.com	1	0
172	2018-10-05	Jacqueline	Nicolozakes	rasar@lexiqvolax.com	0	0
173	2018-10-05	Georgene	Neither	aharabedian@newex.com	1	0
174	2018-10-08	Rodolfo	Canlas	mschmaltz@zencorporation.com	1	0
175	2018-10-08	Helga	Gwalthney	lhalsey@plexzap.com	1	0
176	2018-10-09	My	Farrow	remigh@ganjaflex.com	0	1
177	2018-10-09	Lenna	Ventura	hweirather@lexiqvolax.com	1	0
178	2018-10-10	Ligia	Baltimore	nbartolet@inity.com	0	1
179	2018-10-10	Judy	Konopacki	agudroe@rantouch.com	1	0
180	2018-10-10	Nichelle	Cookey	lhalsey@plexzap.com	1	0
181	2018-10-11			spinilla@zoomit.com	1	0
182	2018-10-11	Lenna	Saulter	vhauenstein@codehow.com	0	1
183	2018-10-11	Nana	Nabours	ythyberg@openlane.com	1	0
184	2018-10-12			lstimmel@j-texon.com	1	0
185	2018-10-12	Gregoria	Sweigard	vhauenstein@codehow.com	1	0
186	2018-10-15	Regenia	Garufi	shamilton@donware.com	1	0
187	2018-10-15	Skye	Regusters	bscheyer@isdom.com	1	0
188	2018-10-16			lehmann@plusstrip.com	1	0
189	2018-10-16	Larae	Scheyer	kknipp@cancity.com	0	1
190	2018-10-17	Fletcher	Eroman	rmaynerich@bioholding.com	1	0
191	2018-10-17	Truman	Rhoden	cgrenet@warephase.com	1	0
192	2018-10-18	Tawna	Wildfong	goles@newex.com	1	0
193	2018-10-18			rkannady@rundofase.com	0	1
194	2018-10-18			nplumer@doncon.com	1	0
195	2018-10-19	Louvenia	Burnard	fweirather@warephase.com	1	0
196	2018-10-19	Fatima	Hoa	cmaclead@ron-tech.com	1	0
197	2018-10-22	Izetta	Restrepo	dbayless@codehow.com	1	0
198	2018-10-22	France	Delasancha	tboord@iselectrics.com	1	0
199	2018-10-23	Tiera	Louissant	rkannady@rundofase.com	0	1
200	2018-10-23	Cecily	Andreason	fcoyier@fasehatice.com	1	0
201	2018-10-23	Xochitl	Dallen	rasar@lexiqvolax.com	1	0
202	2018-10-24	Christiane	Vizarro	grestrepo@blackzim.com	1	0
203	2018-10-24	Tiffiny	Staback	tmeteer@zumgoity.com	1	0
204	2018-10-24	Paris	Wolfgramm	tmeteer@zumgoity.com	1	0
205	2018-10-25	Raylene	Buzick	lweirather@condax.com	0	1
206	2018-10-25	Beatriz	Grenet	jdrymon@kan-code.com	1	0
207	2018-10-25	Elvera	Hirpara	mgesick@hatfan.com	1	0
208	2018-10-26			cturinetti@goodsilron.com	1	0
209	2018-10-29	Jettie	Treston	lsaylors@iselectrics.com	1	0
210	2018-10-29	Lauran	Lipke	ffrancescon@finjob.com	1	0
211	2018-10-29			kknipp@cancity.com	1	0
212	2018-10-30	Linn	Borgman	tboord@iselectrics.com	1	0
213	2018-10-30	Angella	Patak	ffrancescon@finjob.com	1	0
214	2018-10-31	Mitsue	Kolmetz	lehmann@plusstrip.com	1	0
215	2018-11-01	Staci	Hengel	cmanno@donquadtech.com	1	0
216	2018-11-01	Roosevelt	Hirpara	sscipione@toughzap.com	1	0
217	2018-11-02	Jovita	Tomblin	lvanausdal@codehow.com	1	0
218	2018-11-05	Raymon	Auber	hpagliuca@rundofase.com	1	0
219	2018-11-05	Nicolette	Weight	jneither@statholdings.com	1	0
220	2018-11-06	Lettie	Yum	gkusko@scottech.com	1	0
221	2018-11-06	Sharee	Ventura	taquas@streethex.com	1	0
222	2018-11-06	Venita	Beech	cschoeneck@bioplex.com	0	1
223	2018-11-07	Kerry	Lipke	lcolla@condax.com	1	0
224	2018-11-07	Elli	Dilliard	swaymire@gogozoom.com	1	0
225	2018-11-07			dschmaltz@scotfind.com	1	0
226	2018-11-08	Talia	Tolfree	lsengbusch@plusstrip.com	1	0
227	2018-11-08	Karan	Bilden	fmorocco@toughzap.com	1	0
228	2018-11-08	Laurel	Stockham	vborgman@groovestreet.com	1	0
229	2018-11-09	Levi	Haufler	dbayless@codehow.com	1	0
230	2018-11-09	Dalene	Pelkowski	gjeanty@faxquote.com	1	0
231	2018-11-12	Beatriz	Montezuma	sbrucato@bioholding.com	0	1
232	2018-11-12	Rickie	Aquas	shamilton@donware.com	1	0
233	2018-11-12	Kallie	Strassner	gjeanty@faxquote.com	0	1
234	2018-11-13	Skye	Chaffins	rdhamer@donware.com	1	0
235	2018-11-13	Thaddeus	Hughey	sparvis@zumgoity.com	1	0
236	2018-11-14	Detra	Rim	pheintzman@sunnamplex.com	1	0
237	2018-11-14	Antione	Tomblin	tarceo@stanredtax.com	0	1
238	2018-11-15			fweirather@warephase.com	1	0
239	2018-11-15	Ceola	Lace	tmiceli@zathunicon.com	0	1
240	2018-11-15	Novella	Hirpara	kgabisi@opentech.com	1	0
241	2018-11-16	Detra	Lace	spinilla@zoomit.com	1	0
242	2018-11-16	Merlyn	Oldroyd	cmanno@donquadtech.com	1	0
243	2018-11-19	Rikki	Hollack	kamigon@faxquote.com	1	0
244	2018-11-19	Quentin	Wildfong	mshields@iselectrics.com	1	0
245	2018-11-20	Sabra	Dilliard	rasar@lexiqvolax.com	1	0
246	2018-11-20	Lizbeth	Cronauer	tmeteer@zumgoity.com	1	0
247	2018-11-21	Meaghan	Samu	fstorment@mathtouch.com	1	0
248	2018-11-21	Fatima	Berlanga	lragel@gogozoom.com	1	0
